aileronStartY,aileronStartChord,aileronStartHinge,aileronEndHinge,totalAileronAreaStraight,totalAileronAreaConstant,aileronSpanPerWingspan,aileronChordPerWingChord
23.88,19.2112,0.4892,0.81,358.7388,174.7564,0.5,0.19
32.835,16.9284,0.5483,0.8,208.2664,119.228,0.35,0.2
32.238,17.0806,0.5434,0.8,217.4877,123.2887,0.36,0.2
31.641,17.2328,0.5386,0.8,226.8907,127.3857,0.37,0.2
31.044,17.385,0.5339,0.8,236.4754,131.5191,0.38,0.2
30.447,17.5372,0.5292,0.8,246.2418,135.6888,0.39,0.2
29.85,17.6893,0.5247,0.8,256.1899,139.8948,0.4,0.2
29.253,17.8415,0.5202,0.8,266.3197,144.1372,0.41,0.2
28.656,17.9937,0.5158,0.8,276.6312,148.4159,0.42,0.2
28.059,18.1459,0.5115,0.8,287.1245,152.731,0.43,0.2
27.462,18.2981,0.5072,0.8,297.7994,157.0824,0.44,0.2
26.865,18.4503,0.5031,0.8,308.6561,161.4702,0.45,0.2
26.268,18.6025,0.4989,0.8,319.6945,165.8943,0.46,0.2
25.671,18.7546,0.4949,0.8,330.9146,170.3547,0.47,0.2
25.074,18.9068,0.4909,0.8,342.3164,174.8515,0.48,0.2
24.477,19.059,0.487,0.8,353.8999,179.3846,0.49,0.2
23.88,19.2112,0.4831,0.8,365.6651,183.9541,0.5,0.2
32.835,16.9284,0.5414,0.79,213.1149,125.1894,0.35,0.21
32.238,17.0806,0.5366,0.79,222.4746,129.4531,0.36,0.21
31.641,17.2328,0.5319,0.79,232.0162,133.755,0.37,0.21
31.044,17.385,0.5272,0.79,241.7394,138.095,0.38,0.21
30.447,17.5372,0.5226,0.79,251.6443,142.4732,0.39,0.21
29.85,17.6893,0.5181,0.79,261.7309,146.8896,0.4,0.21
29.253,17.8415,0.5137,0.79,271.9993,151.3441,0.41,0.21
28.656,17.9937,0.5094,0.79,282.4493,155.8367,0.42,0.21
28.059,18.1459,0.5051,0.79,293.0811,160.3675,0.43,0.21
27.462,18.2981,0.5009,0.79,303.8946,164.9365,0.44,0.21
26.865,18.4503,0.4968,0.79,314.8898,169.5437,0.45,0.21
26.268,18.6025,0.4927,0.79,326.0667,174.189,0.46,0.21
25.671,18.7546,0.4887,0.79,337.4253,178.8724,0.47,0.21
25.074,18.9068,0.4848,0.79,348.9656,183.5941,0.48,0.21
24.477,19.059,0.4809,0.79,360.6877,188.3538,0.49,0.21
23.88,19.2112,0.4771,0.79,372.5914,193.1518,0.5,0.21
32.835,16.9284,0.5346,0.78,217.9633,131.1508,0.35,0.22
32.238,17.0806,0.5298,0.78,227.4616,135.6176,0.36,0.22
31.641,17.2328,0.5251,0.78,237.1416,140.1243,0.37,0.22
31.044,17.385,0.5205,0.78,247.0034,144.671,0.38,0.22
30.447,17.5372,0.516,0.78,257.0468,149.2576,0.39,0.22
29.85,17.6893,0.5116,0.78,267.272,153.8843,0.4,0.22
29.253,17.8415,0.5072,0.78,277.6789,158.5509,0.41,0.22
28.656,17.9937,0.5029,0.78,288.2674,163.2575,0.42,0.22
28.059,18.1459,0.4987,0.78,299.0377,168.0041,0.43,0.22
27.462,18.2981,0.4946,0.78,309.9898,172.7906,0.44,0.22
26.865,18.4503,0.4905,0.78,321.1235,177.6172,0.45,0.22
26.268,18.6025,0.4865,0.78,332.4389,182.4837,0.46,0.22
25.671,18.7546,0.4825,0.78,343.9361,187.3902,0.47,0.22
25.074,18.9068,0.4786,0.78,355.6149,192.3366,0.48,0.22
24.477,19.059,0.4748,0.78,367.4755,197.3231,0.49,0.22
23.88,19.2112,0.4711,0.78,379.5177,202.3495,0.5,0.22
32.835,16.9284,0.5277,0.77,222.8117,137.1122,0.35,0.23
32.238,17.0806,0.523,0.77,232.4485,141.782,0.36,0.23
31.641,17.2328,0.5184,0.77,242.2671,146.4936,0.37,0.23
31.044,17.385,0.5139,0.77,252.2674,151.2469,0.38,0.23
30.447,17.5372,0.5094,0.77,262.4493,156.0421,0.39,0.23
29.85,17.6893,0.505,0.77,272.813,160.879,0.4,0.23
29.253,17.8415,0.5007,0.77,283.3584,165.7578,0.41,0.23
28.656,17.9937,0.4965,0.77,294.0856,170.6783,0.42,0.23
28.059,18.1459,0.4923,0.77,304.9944,175.6406,0.43,0.23
27.462,18.2981,0.4882,0.77,316.0849,180.6448,0.44,0.23
26.865,18.4503,0.4842,0.77,327.3572,185.6907,0.45,0.23
26.268,18.6025,0.4802,0.77,338.8111,190.7784,0.46,0.23
25.671,18.7546,0.4763,0.77,350.4468,195.9079,0.47,0.23
25.074,18.9068,0.4725,0.77,362.2642,201.0792,0.48,0.23
24.477,19.059,0.4687,0.77,374.2633,206.2923,0.49,0.23
23.88,19.2112,0.465,0.77,386.4441,211.5472,0.5,0.23
32.835,16.9284,0.5209,0.76,227.6601,143.0736,0.35,0.24
32.238,17.0806,0.5162,0.76,237.4355,147.9464,0.36,0.24
31.641,17.2328,0.5117,0.76,247.3926,152.8628,0.37,0.24
31.044,17.385,0.5072,0.76,257.5314,157.8229,0.38,0.24
30.447,17.5372,0.5028,0.76,267.8519,162.8265,0.39,0.24
29.85,17.6893,0.4985,0.76,278.3541,167.8738,0.4,0.24
29.253,17.8415,0.4942,0.76,289.038,172.9646,0.41,0.24
28.656,17.9937,0.49,0.76,299.9037,178.0991,0.42,0.24
28.059,18.1459,0.4859,0.76,310.951,183.2772,0.43,0.24
27.462,18.2981,0.4819,0.76,322.1801,188.4989,0.44,0.24
26.865,18.4503,0.4779,0.76,333.5908,193.7642,0.45,0.24
26.268,18.6025,0.474,0.76,345.1833,199.0731,0.46,0.24
25.671,18.7546,0.4701,0.76,356.9575,204.4256,0.47,0.24
25.074,18.9068,0.4664,0.76,368.9134,209.8218,0.48,0.24
24.477,19.059,0.4626,0.76,381.051,215.2615,0.49,0.24
23.88,19.2112,0.459,0.76,393.3704,220.7449,0.5,0.24
32.835,16.9284,0.514,0.75,232.5085,149.035,0.35,0.25
32.238,17.0806,0.5094,0.75,242.4224,154.1109,0.36,0.25
31.641,17.2328,0.5049,0.75,252.518,159.2321,0.37,0.25
31.044,17.385,0.5005,0.75,262.7954,164.3988,0.38,0.25
30.447,17.5372,0.4962,0.75,273.2544,169.611,0.39,0.25
29.85,17.6893,0.4919,0.75,283.8951,174.8685,0.4,0.25
29.253,17.8415,0.4877,0.75,294.7176,180.1715,0.41,0.25
28.656,17.9937,0.4836,0.75,305.7218,185.5199,0.42,0.25
28.059,18.1459,0.4795,0.75,316.9076,190.9137,0.43,0.25
27.462,18.2981,0.4755,0.75,328.2752,196.353,0.44,0.25
26.865,18.4503,0.4716,0.75,339.8245,201.8377,0.45,0.25
26.268,18.6025,0.4678,0.75,351.5555,207.3678,0.46,0.25
25.671,18.7546,0.464,0.75,363.4683,212.9434,0.47,0.25
25.074,18.9068,0.4602,0.75,375.5627,218.5643,0.48,0.25
24.477,19.059,0.4566,0.75,387.8388,224.2308,0.49,0.25
23.88,19.2112,0.4529,0.75,400.2967,229.9426,0.5,0.25
