sref,cref,bref,rootChord,tipChord,tipPositionX,tipPositionY,taperRatio,sweepAngle
192,8.1667,24,10,6,1,12,0.6,0
211.2,8.9833,24,11,6.6,1.1,12,0.6,0
230.4,9.8,24,12,7.2,1.2,12,0.6,0
179.2,6.5333,28,8,4.8,0.8,14,0.6,0
201.6,7.35,28,9,5.4,0.9,14,0.6,0
224,8.1667,28,10,6,1,14,0.6,0
246.4,8.9833,28,11,6.6,1.1,14,0.6,0
268.8,9.8,28,12,7.2,1.2,14,0.6,0
204.8,6.5333,32,8,4.8,0.8,16,0.6,0
230.4,7.35,32,9,5.4,0.9,16,0.6,0
256,8.1667,32,10,6,1,16,0.6,0
281.6,8.9833,32,11,6.6,1.1,16,0.6,0
307.2,9.8,32,12,7.2,1.2,16,0.6,0
230.4,6.5333,36,8,4.8,0.8,18,0.6,0
259.2,7.35,36,9,5.4,0.9,18,0.6,0
288,8.1667,36,10,6,1,18,0.6,0
316.8,8.9833,36,11,6.6,1.1,18,0.6,0
345.6,9.8,36,12,7.2,1.2,18,0.6,0
172.8,7.2296,24,8,6.4,0.4,12,0.8,0
194.4,8.1333,24,9,7.2,0.45,12,0.8,0
216,9.037,24,10,8,0.5,12,0.8,0
237.6,9.9407,24,11,8.8,0.55,12,0.8,0
259.2,10.8444,24,12,9.6,0.6,12,0.8,0
201.6,7.2296,28,8,6.4,0.4,14,0.8,0
226.8,8.1333,28,9,7.2,0.45,14,0.8,0
252,9.037,28,10,8,0.5,14,0.8,0
277.2,9.9407,28,11,8.8,0.55,14,0.8,0
302.4,10.8444,28,12,9.6,0.6,14,0.8,0
230.4,7.2296,32,8,6.4,0.4,16,0.8,0
259.2,8.1333,32,9,7.2,0.45,16,0.8,0
288,9.037,32,10,8,0.5,16,0.8,0
316.8,9.9407,32,11,8.8,0.55,16,0.8,0
345.6,10.8444,32,12,9.6,0.6,16,0.8,0
259.2,7.2296,36,8,6.4,0.4,18,0.8,0
291.6,8.1333,36,9,7.2,0.45,18,0.8,0
324,9.037,36,10,8,0.5,18,0.8,0
356.4,9.9407,36,11,8.8,0.55,18,0.8,0
388.8,10.8444,36,12,9.6,0.6,18,0.8,0
192,8,24,8,8,0,12,1,0
216,9,24,9,9,0,12,1,0
240,10,24,10,10,0,12,1,0
264,11,24,11,11,0,12,1,0
288,12,24,12,12,0,12,1,0
224,8,28,8,8,0,14,1,0
252,9,28,9,9,0,14,1,0
280,10,28,10,10,0,14,1,0
308,11,28,11,11,0,14,1,0
336,12,28,12,12,0,14,1,0
256,8,32,8,8,0,16,1,0
288,9,32,9,9,0,16,1,0
320,10,32,10,10,0,16,1,0
352,11,32,11,11,0,16,1,0
384,12,32,12,12,0,16,1,0
288,8,36,8,8,0,18,1,0
324,9,36,9,9,0,18,1,0
360,10,36,10,10,0,18,1,0
396,11,36,11,11,0,18,1,0
432,12,36,12,12,0,18,1,0
115.2,5.5111,24,8,1.6,2.6499,12,0.2,5
129.6,6.2,24,9,1.8,2.8499,12,0.2,5
144,6.8889,24,10,2,3.0499,12,0.2,5
158.4,7.5778,24,11,2.2,3.2499,12,0.2,5
172.8,8.2667,24,12,2.4,3.4499,12,0.2,5
134.4,5.5111,28,8,1.6,2.8248,14,0.2,5
151.2,6.2,28,9,1.8,3.0248,14,0.2,5
168,6.8889,28,10,2,3.2248,14,0.2,5
184.8,7.5778,28,11,2.2,3.4248,14,0.2,5
201.6,8.2667,28,12,2.4,3.6248,14,0.2,5
153.6,5.5111,32,8,1.6,2.9998,16,0.2,5
172.8,6.2,32,9,1.8,3.1998,16,0.2,5
192,6.8889,32,10,2,3.3998,16,0.2,5
211.2,7.5778,32,11,2.2,3.5998,16,0.2,5
230.4,8.2667,32,12,2.4,3.7998,16,0.2,5
172.8,5.5111,36,8,1.6,3.1748,18,0.2,5
194.4,6.2,36,9,1.8,3.3748,18,0.2,5
216,6.8889,36,10,2,3.5748,18,0.2,5
237.6,7.5778,36,11,2.2,3.7748,18,0.2,5
259.2,8.2667,36,12,2.4,3.9748,18,0.2,5
134.4,5.9429,24,8,3.2,2.2499,12,0.4,5
151.2,6.6857,24,9,3.6,2.3999,12,0.4,5
168,7.4286,24,10,4,2.5499,12,0.4,5
184.8,8.1714,24,11,4.4,2.6999,12,0.4,5
201.6,8.9143,24,12,4.8,2.8499,12,0.4,5
156.8,5.9429,28,8,3.2,2.4248,14,0.4,5
176.4,6.6857,28,9,3.6,2.5748,14,0.4,5
196,7.4286,28,10,4,2.7248,14,0.4,5
215.6,8.1714,28,11,4.4,2.8748,14,0.4,5
235.2,8.9143,28,12,4.8,3.0248,14,0.4,5
179.2,5.9429,32,8,3.2,2.5998,16,0.4,5
201.6,6.6857,32,9,3.6,2.7498,16,0.4,5
224,7.4286,32,10,4,2.8998,16,0.4,5
246.4,8.1714,32,11,4.4,3.0498,16,0.4,5
268.8,8.9143,32,12,4.8,3.1998,16,0.4,5
201.6,5.9429,36,8,3.2,2.7748,18,0.4,5
226.8,6.6857,36,9,3.6,2.9248,18,0.4,5
252,7.4286,36,10,4,3.0748,18,0.4,5
277.2,8.1714,36,11,4.4,3.2248,18,0.4,5
302.4,8.9143,36,12,4.8,3.3748,18,0.4,5
153.6,6.5333,24,8,4.8,1.8499,12,0.6,5
172.8,7.35,24,9,5.4,1.9499,12,0.6,5
192,8.1667,24,10,6,2.0499,12,0.6,5
211.2,8.9833,24,11,6.6,2.1499,12,0.6,5
230.4,9.8,24,12,7.2,2.2499,12,0.6,5
179.2,6.5333,28,8,4.8,2.0248,14,0.6,5
201.6,7.35,28,9,5.4,2.1248,14,0.6,5
224,8.1667,28,10,6,2.2248,14,0.6,5
246.4,8.9833,28,11,6.6,2.3248,14,0.6,5
268.8,9.8,28,12,7.2,2.4248,14,0.6,5
204.8,6.5333,32,8,4.8,2.1998,16,0.6,5
230.4,7.35,32,9,5.4,2.2998,16,0.6,5
256,8.1667,32,10,6,2.3998,16,0.6,5
281.6,8.9833,32,11,6.6,2.4998,16,0.6,5
307.2,9.8,32,12,7.2,2.5998,16,0.6,5
230.4,6.5333,36,8,4.8,2.3748,18,0.6,5
259.2,7.35,36,9,5.4,2.4748,18,0.6,5
288,8.1667,36,10,6,2.5748,18,0.6,5
316.8,8.9833,36,11,6.6,2.6748,18,0.6,5
345.6,9.8,36,12,7.2,2.7748,18,0.6,5
172.8,7.2296,24,8,6.4,1.4499,12,0.8,5
194.4,8.1333,24,9,7.2,1.4999,12,0.8,5
216,9.037,24,10,8,1.5499,12,0.8,5
237.6,9.9407,24,11,8.8,1.5999,12,0.8,5
259.2,10.8444,24,12,9.6,1.6499,12,0.8,5
201.6,7.2296,28,8,6.4,1.6248,14,0.8,5
226.8,8.1333,28,9,7.2,1.6748,14,0.8,5
252,9.037,28,10,8,1.7248,14,0.8,5
277.2,9.9407,28,11,8.8,1.7748,14,0.8,5
302.4,10.8444,28,12,9.6,1.8248,14,0.8,5
230.4,7.2296,32,8,6.4,1.7998,16,0.8,5
259.2,8.1333,32,9,7.2,1.8498,16,0.8,5
288,9.037,32,10,8,1.8998,16,0.8,5
316.8,9.9407,32,11,8.8,1.9498,16,0.8,5
345.6,10.8444,32,12,9.6,1.9998,16,0.8,5
259.2,7.2296,36,8,6.4,1.9748,18,0.8,5
291.6,8.1333,36,9,7.2,2.0248,18,0.8,5
324,9.037,36,10,8,2.0748,18,0.8,5
356.4,9.9407,36,11,8.8,2.1248,18,0.8,5
388.8,10.8444,36,12,9.6,2.1748,18,0.8,5
192,8,24,8,8,1.0499,12,1,5
216,9,24,9,9,1.0499,12,1,5
240,10,24,10,10,1.0499,12,1,5
264,11,24,11,11,1.0499,12,1,5
288,12,24,12,12,1.0499,12,1,5
224,8,28,8,8,1.2248,14,1,5
252,9,28,9,9,1.2248,14,1,5
280,10,28,10,10,1.2248,14,1,5
308,11,28,11,11,1.2248,14,1,5
336,12,28,12,12,1.2248,14,1,5
256,8,32,8,8,1.3998,16,1,5
288,9,32,9,9,1.3998,16,1,5
320,10,32,10,10,1.3998,16,1,5
352,11,32,11,11,1.3998,16,1,5
384,12,32,12,12,1.3998,16,1,5
288,8,36,8,8,1.5748,18,1,5
324,9,36,9,9,1.5748,18,1,5
360,10,36,10,10,1.5748,18,1,5
396,11,36,11,11,1.5748,18,1,5
432,12,36,12,12,1.5748,18,1,5
115.2,5.5111,24,8,1.6,3.7159,12,0.2,10
129.6,6.2,24,9,1.8,3.9159,12,0.2,10
144,6.8889,24,10,2,4.1159,12,0.2,10
158.4,7.5778,24,11,2.2,4.3159,12,0.2,10
172.8,8.2667,24,12,2.4,4.5159,12,0.2,10
134.4,5.5111,28,8,1.6,4.0686,14,0.2,10
151.2,6.2,28,9,1.8,4.2686,14,0.2,10
168,6.8889,28,10,2,4.4686,14,0.2,10
184.8,7.5778,28,11,2.2,4.6686,14,0.2,10
201.6,8.2667,28,12,2.4,4.8686,14,0.2,10
153.6,5.5111,32,8,1.6,4.4212,16,0.2,10
172.8,6.2,32,9,1.8,4.6212,16,0.2,10
192,6.8889,32,10,2,4.8212,16,0.2,10
211.2,7.5778,32,11,2.2,5.0212,16,0.2,10
230.4,8.2667,32,12,2.4,5.2212,16,0.2,10
172.8,5.5111,36,8,1.6,4.7739,18,0.2,10
194.4,6.2,36,9,1.8,4.9739,18,0.2,10
216,6.8889,36,10,2,5.1739,18,0.2,10
237.6,7.5778,36,11,2.2,5.3739,18,0.2,10
259.2,8.2667,36,12,2.4,5.5739,18,0.2,10
134.4,5.9429,24,8,3.2,3.3159,12,0.4,10
151.2,6.6857,24,9,3.6,3.4659,12,0.4,10
168,7.4286,24,10,4,3.6159,12,0.4,10
184.8,8.1714,24,11,4.4,3.7659,12,0.4,10
201.6,8.9143,24,12,4.8,3.9159,12,0.4,10
156.8,5.9429,28,8,3.2,3.6686,14,0.4,10
176.4,6.6857,28,9,3.6,3.8186,14,0.4,10
196,7.4286,28,10,4,3.9686,14,0.4,10
215.6,8.1714,28,11,4.4,4.1186,14,0.4,10
235.2,8.9143,28,12,4.8,4.2686,14,0.4,10
179.2,5.9429,32,8,3.2,4.0212,16,0.4,10
201.6,6.6857,32,9,3.6,4.1712,16,0.4,10
224,7.4286,32,10,4,4.3212,16,0.4,10
246.4,8.1714,32,11,4.4,4.4712,16,0.4,10
268.8,8.9143,32,12,4.8,4.6212,16,0.4,10
201.6,5.9429,36,8,3.2,4.3739,18,0.4,10
226.8,6.6857,36,9,3.6,4.5239,18,0.4,10
252,7.4286,36,10,4,4.6739,18,0.4,10
277.2,8.1714,36,11,4.4,4.8239,18,0.4,10
302.4,8.9143,36,12,4.8,4.9739,18,0.4,10
153.6,6.5333,24,8,4.8,2.9159,12,0.6,10
172.8,7.35,24,9,5.4,3.0159,12,0.6,10
192,8.1667,24,10,6,3.1159,12,0.6,10
211.2,8.9833,24,11,6.6,3.2159,12,0.6,10
230.4,9.8,24,12,7.2,3.3159,12,0.6,10
179.2,6.5333,28,8,4.8,3.2686,14,0.6,10
201.6,7.35,28,9,5.4,3.3686,14,0.6,10
224,8.1667,28,10,6,3.4686,14,0.6,10
246.4,8.9833,28,11,6.6,3.5686,14,0.6,10
268.8,9.8,28,12,7.2,3.6686,14,0.6,10
204.8,6.5333,32,8,4.8,3.6212,16,0.6,10
230.4,7.35,32,9,5.4,3.7212,16,0.6,10
256,8.1667,32,10,6,3.8212,16,0.6,10
281.6,8.9833,32,11,6.6,3.9212,16,0.6,10
307.2,9.8,32,12,7.2,4.0212,16,0.6,10
230.4,6.5333,36,8,4.8,3.9739,18,0.6,10
259.2,7.35,36,9,5.4,4.0739,18,0.6,10
288,8.1667,36,10,6,4.1739,18,0.6,10
316.8,8.9833,36,11,6.6,4.2739,18,0.6,10
345.6,9.8,36,12,7.2,4.3739,18,0.6,10
172.8,7.2296,24,8,6.4,2.5159,12,0.8,10
194.4,8.1333,24,9,7.2,2.5659,12,0.8,10
216,9.037,24,10,8,2.6159,12,0.8,10
237.6,9.9407,24,11,8.8,2.6659,12,0.8,10
259.2,10.8444,24,12,9.6,2.7159,12,0.8,10
201.6,7.2296,28,8,6.4,2.8686,14,0.8,10
226.8,8.1333,28,9,7.2,2.9186,14,0.8,10
252,9.037,28,10,8,2.9686,14,0.8,10
277.2,9.9407,28,11,8.8,3.0186,14,0.8,10
302.4,10.8444,28,12,9.6,3.0686,14,0.8,10
230.4,7.2296,32,8,6.4,3.2212,16,0.8,10
259.2,8.1333,32,9,7.2,3.2712,16,0.8,10
288,9.037,32,10,8,3.3212,16,0.8,10
316.8,9.9407,32,11,8.8,3.3712,16,0.8,10
345.6,10.8444,32,12,9.6,3.4212,16,0.8,10
259.2,7.2296,36,8,6.4,3.5739,18,0.8,10
291.6,8.1333,36,9,7.2,3.6239,18,0.8,10
324,9.037,36,10,8,3.6739,18,0.8,10
356.4,9.9407,36,11,8.8,3.7239,18,0.8,10
388.8,10.8444,36,12,9.6,3.7739,18,0.8,10
192,8,24,8,8,2.1159,12,1,10
216,9,24,9,9,2.1159,12,1,10
240,10,24,10,10,2.1159,12,1,10
264,11,24,11,11,2.1159,12,1,10
288,12,24,12,12,2.1159,12,1,10
224,8,28,8,8,2.4686,14,1,10
252,9,28,9,9,2.4686,14,1,10
280,10,28,10,10,2.4686,14,1,10
308,11,28,11,11,2.4686,14,1,10
336,12,28,12,12,2.4686,14,1,10
256,8,32,8,8,2.8212,16,1,10
288,9,32,9,9,2.8212,16,1,10
320,10,32,10,10,2.8212,16,1,10
352,11,32,11,11,2.8212,16,1,10
384,12,32,12,12,2.8212,16,1,10
288,8,36,8,8,3.1739,18,1,10
324,9,36,9,9,3.1739,18,1,10
360,10,36,10,10,3.1739,18,1,10
396,11,36,11,11,3.1739,18,1,10
432,12,36,12,12,3.1739,18,1,10
115.2,5.5111,24,8,1.6,4.8154,12,0.2,15
129.6,6.2,24,9,1.8,5.0154,12,0.2,15
144,6.8889,24,10,2,5.2154,12,0.2,15
158.4,7.5778,24,11,2.2,5.4154,12,0.2,15
172.8,8.2667,24,12,2.4,5.6154,12,0.2,15
134.4,5.5111,28,8,1.6,5.3513,14,0.2,15
151.2,6.2,28,9,1.8,5.5513,14,0.2,15
168,6.8889,28,10,2,5.7513,14,0.2,15
184.8,7.5778,28,11,2.2,5.9513,14,0.2,15
201.6,8.2667,28,12,2.4,6.1513,14,0.2,15
153.6,5.5111,32,8,1.6,5.8872,16,0.2,15
172.8,6.2,32,9,1.8,6.0872,16,0.2,15
192,6.8889,32,10,2,6.2872,16,0.2,15
211.2,7.5778,32,11,2.2,6.4872,16,0.2,15
230.4,8.2667,32,12,2.4,6.6872,16,0.2,15
172.8,5.5111,36,8,1.6,6.4231,18,0.2,15
194.4,6.2,36,9,1.8,6.6231,18,0.2,15
216,6.8889,36,10,2,6.8231,18,0.2,15
237.6,7.5778,36,11,2.2,7.0231,18,0.2,15
259.2,8.2667,36,12,2.4,7.2231,18,0.2,15
134.4,5.9429,24,8,3.2,4.4154,12,0.4,15
151.2,6.6857,24,9,3.6,4.5654,12,0.4,15
168,7.4286,24,10,4,4.7154,12,0.4,15
184.8,8.1714,24,11,4.4,4.8654,12,0.4,15
201.6,8.9143,24,12,4.8,5.0154,12,0.4,15
156.8,5.9429,28,8,3.2,4.9513,14,0.4,15
176.4,6.6857,28,9,3.6,5.1013,14,0.4,15
196,7.4286,28,10,4,5.2513,14,0.4,15
215.6,8.1714,28,11,4.4,5.4013,14,0.4,15
235.2,8.9143,28,12,4.8,5.5513,14,0.4,15
179.2,5.9429,32,8,3.2,5.4872,16,0.4,15
201.6,6.6857,32,9,3.6,5.6372,16,0.4,15
224,7.4286,32,10,4,5.7872,16,0.4,15
246.4,8.1714,32,11,4.4,5.9372,16,0.4,15
268.8,8.9143,32,12,4.8,6.0872,16,0.4,15
201.6,5.9429,36,8,3.2,6.0231,18,0.4,15
226.8,6.6857,36,9,3.6,6.1731,18,0.4,15
252,7.4286,36,10,4,6.3231,18,0.4,15
277.2,8.1714,36,11,4.4,6.4731,18,0.4,15
302.4,8.9143,36,12,4.8,6.6231,18,0.4,15
153.6,6.5333,24,8,4.8,4.0154,12,0.6,15
172.8,7.35,24,9,5.4,4.1154,12,0.6,15
192,8.1667,24,10,6,4.2154,12,0.6,15
211.2,8.9833,24,11,6.6,4.3154,12,0.6,15
230.4,9.8,24,12,7.2,4.4154,12,0.6,15
179.2,6.5333,28,8,4.8,4.5513,14,0.6,15
201.6,7.35,28,9,5.4,4.6513,14,0.6,15
224,8.1667,28,10,6,4.7513,14,0.6,15
246.4,8.9833,28,11,6.6,4.8513,14,0.6,15
268.8,9.8,28,12,7.2,4.9513,14,0.6,15
204.8,6.5333,32,8,4.8,5.0872,16,0.6,15
230.4,7.35,32,9,5.4,5.1872,16,0.6,15
256,8.1667,32,10,6,5.2872,16,0.6,15
281.6,8.9833,32,11,6.6,5.3872,16,0.6,15
307.2,9.8,32,12,7.2,5.4872,16,0.6,15
230.4,6.5333,36,8,4.8,5.6231,18,0.6,15
259.2,7.35,36,9,5.4,5.7231,18,0.6,15
288,8.1667,36,10,6,5.8231,18,0.6,15
316.8,8.9833,36,11,6.6,5.9231,18,0.6,15
345.6,9.8,36,12,7.2,6.0231,18,0.6,15
172.8,7.2296,24,8,6.4,3.6154,12,0.8,15
194.4,8.1333,24,9,7.2,3.6654,12,0.8,15
216,9.037,24,10,8,3.7154,12,0.8,15
237.6,9.9407,24,11,8.8,3.7654,12,0.8,15
259.2,10.8444,24,12,9.6,3.8154,12,0.8,15
201.6,7.2296,28,8,6.4,4.1513,14,0.8,15
226.8,8.1333,28,9,7.2,4.2013,14,0.8,15
252,9.037,28,10,8,4.2513,14,0.8,15
277.2,9.9407,28,11,8.8,4.3013,14,0.8,15
302.4,10.8444,28,12,9.6,4.3513,14,0.8,15
230.4,7.2296,32,8,6.4,4.6872,16,0.8,15
259.2,8.1333,32,9,7.2,4.7372,16,0.8,15
288,9.037,32,10,8,4.7872,16,0.8,15
316.8,9.9407,32,11,8.8,4.8372,16,0.8,15
345.6,10.8444,32,12,9.6,4.8872,16,0.8,15
259.2,7.2296,36,8,6.4,5.2231,18,0.8,15
291.6,8.1333,36,9,7.2,5.2731,18,0.8,15
324,9.037,36,10,8,5.3231,18,0.8,15
356.4,9.9407,36,11,8.8,5.3731,18,0.8,15
388.8,10.8444,36,12,9.6,5.4231,18,0.8,15
192,8,24,8,8,3.2154,12,1,15
216,9,24,9,9,3.2154,12,1,15
240,10,24,10,10,3.2154,12,1,15
264,11,24,11,11,3.2154,12,1,15
288,12,24,12,12,3.2154,12,1,15
224,8,28,8,8,3.7513,14,1,15
252,9,28,9,9,3.7513,14,1,15
280,10,28,10,10,3.7513,14,1,15
308,11,28,11,11,3.7513,14,1,15
336,12,28,12,12,3.7513,14,1,15
256,8,32,8,8,4.2872,16,1,15
288,9,32,9,9,4.2872,16,1,15
320,10,32,10,10,4.2872,16,1,15
352,11,32,11,11,4.2872,16,1,15
384,12,32,12,12,4.2872,16,1,15
288,8,36,8,8,4.8231,18,1,15
324,9,36,9,9,4.8231,18,1,15
360,10,36,10,10,4.8231,18,1,15
396,11,36,11,11,4.8231,18,1,15
432,12,36,12,12,4.8231,18,1,15
115.2,5.5111,24,8,1.6,5.9676,12,0.2,20
129.6,6.2,24,9,1.8,6.1676,12,0.2,20
144,6.8889,24,10,2,6.3676,12,0.2,20
158.4,7.5778,24,11,2.2,6.5676,12,0.2,20
172.8,8.2667,24,12,2.4,6.7676,12,0.2,20
134.4,5.5111,28,8,1.6,6.6956,14,0.2,20
151.2,6.2,28,9,1.8,6.8956,14,0.2,20
168,6.8889,28,10,2,7.0956,14,0.2,20
184.8,7.5778,28,11,2.2,7.2956,14,0.2,20
201.6,8.2667,28,12,2.4,7.4956,14,0.2,20
153.6,5.5111,32,8,1.6,7.4235,16,0.2,20
172.8,6.2,32,9,1.8,7.6235,16,0.2,20
192,6.8889,32,10,2,7.8235,16,0.2,20
211.2,7.5778,32,11,2.2,8.0235,16,0.2,20
230.4,8.2667,32,12,2.4,8.2235,16,0.2,20
172.8,5.5111,36,8,1.6,8.1515,18,0.2,20
194.4,6.2,36,9,1.8,8.3515,18,0.2,20
216,6.8889,36,10,2,8.5515,18,0.2,20
237.6,7.5778,36,11,2.2,8.7515,18,0.2,20
259.2,8.2667,36,12,2.4,8.9515,18,0.2,20
134.4,5.9429,24,8,3.2,5.5676,12,0.4,20
151.2,6.6857,24,9,3.6,5.7176,12,0.4,20
168,7.4286,24,10,4,5.8676,12,0.4,20
184.8,8.1714,24,11,4.4,6.0176,12,0.4,20
201.6,8.9143,24,12,4.8,6.1676,12,0.4,20
156.8,5.9429,28,8,3.2,6.2956,14,0.4,20
176.4,6.6857,28,9,3.6,6.4456,14,0.4,20
196,7.4286,28,10,4,6.5956,14,0.4,20
215.6,8.1714,28,11,4.4,6.7456,14,0.4,20
235.2,8.9143,28,12,4.8,6.8956,14,0.4,20
179.2,5.9429,32,8,3.2,7.0235,16,0.4,20
201.6,6.6857,32,9,3.6,7.1735,16,0.4,20
224,7.4286,32,10,4,7.3235,16,0.4,20
246.4,8.1714,32,11,4.4,7.4735,16,0.4,20
268.8,8.9143,32,12,4.8,7.6235,16,0.4,20
201.6,5.9429,36,8,3.2,7.7515,18,0.4,20
226.8,6.6857,36,9,3.6,7.9015,18,0.4,20
252,7.4286,36,10,4,8.0515,18,0.4,20
277.2,8.1714,36,11,4.4,8.2015,18,0.4,20
302.4,8.9143,36,12,4.8,8.3515,18,0.4,20
153.6,6.5333,24,8,4.8,5.1676,12,0.6,20
172.8,7.35,24,9,5.4,5.2676,12,0.6,20
192,8.1667,24,10,6,5.3676,12,0.6,20
211.2,8.9833,24,11,6.6,5.4676,12,0.6,20
230.4,9.8,24,12,7.2,5.5676,12,0.6,20
179.2,6.5333,28,8,4.8,5.8956,14,0.6,20
201.6,7.35,28,9,5.4,5.9956,14,0.6,20
224,8.1667,28,10,6,6.0956,14,0.6,20
246.4,8.9833,28,11,6.6,6.1956,14,0.6,20
268.8,9.8,28,12,7.2,6.2956,14,0.6,20
204.8,6.5333,32,8,4.8,6.6235,16,0.6,20
230.4,7.35,32,9,5.4,6.7235,16,0.6,20
256,8.1667,32,10,6,6.8235,16,0.6,20
281.6,8.9833,32,11,6.6,6.9235,16,0.6,20
307.2,9.8,32,12,7.2,7.0235,16,0.6,20
230.4,6.5333,36,8,4.8,7.3515,18,0.6,20
259.2,7.35,36,9,5.4,7.4515,18,0.6,20
288,8.1667,36,10,6,7.5515,18,0.6,20
316.8,8.9833,36,11,6.6,7.6515,18,0.6,20
345.6,9.8,36,12,7.2,7.7515,18,0.6,20
172.8,7.2296,24,8,6.4,4.7676,12,0.8,20
194.4,8.1333,24,9,7.2,4.8176,12,0.8,20
216,9.037,24,10,8,4.8676,12,0.8,20
237.6,9.9407,24,11,8.8,4.9176,12,0.8,20
259.2,10.8444,24,12,9.6,4.9676,12,0.8,20
201.6,7.2296,28,8,6.4,5.4956,14,0.8,20
226.8,8.1333,28,9,7.2,5.5456,14,0.8,20
252,9.037,28,10,8,5.5956,14,0.8,20
277.2,9.9407,28,11,8.8,5.6456,14,0.8,20
302.4,10.8444,28,12,9.6,5.6956,14,0.8,20
230.4,7.2296,32,8,6.4,6.2235,16,0.8,20
259.2,8.1333,32,9,7.2,6.2735,16,0.8,20
288,9.037,32,10,8,6.3235,16,0.8,20
316.8,9.9407,32,11,8.8,6.3735,16,0.8,20
345.6,10.8444,32,12,9.6,6.4235,16,0.8,20
259.2,7.2296,36,8,6.4,6.9515,18,0.8,20
291.6,8.1333,36,9,7.2,7.0015,18,0.8,20
324,9.037,36,10,8,7.0515,18,0.8,20
356.4,9.9407,36,11,8.8,7.1015,18,0.8,20
388.8,10.8444,36,12,9.6,7.1515,18,0.8,20
192,8,24,8,8,4.3676,12,1,20
216,9,24,9,9,4.3676,12,1,20
240,10,24,10,10,4.3676,12,1,20
264,11,24,11,11,4.3676,12,1,20
288,12,24,12,12,4.3676,12,1,20
224,8,28,8,8,5.0956,14,1,20
252,9,28,9,9,5.0956,14,1,20
280,10,28,10,10,5.0956,14,1,20
308,11,28,11,11,5.0956,14,1,20
336,12,28,12,12,5.0956,14,1,20
256,8,32,8,8,5.8235,16,1,20
288,9,32,9,9,5.8235,16,1,20
320,10,32,10,10,5.8235,16,1,20
352,11,32,11,11,5.8235,16,1,20
384,12,32,12,12,5.8235,16,1,20
288,8,36,8,8,6.5515,18,1,20
324,9,36,9,9,6.5515,18,1,20
360,10,36,10,10,6.5515,18,1,20
396,11,36,11,11,6.5515,18,1,20
432,12,36,12,12,6.5515,18,1,20
