sref,cref,bref,tipChord,leadingEdgeX,transitionEndY,fuselageLength,fuselageEndY,taperRatio,transitionWidth,transitionSetbackRatio
1.8657,0.6691,3.0328,0.4877,0.2438,0.2198,1.2192,0.0674,0.8,0.1524,0.4
1.8795,0.6847,3.0328,0.4877,0.2845,0.2098,1.3208,0.0574,0.8,0.1524,0.4
1.6649,0.5909,3.0328,0.3658,0.1219,0.2722,0.9144,0.1198,0.6,0.1524,0.4
1.6806,0.6075,3.0328,0.3658,0.1626,0.2494,1.016,0.097,0.6,0.1524,0.4
1.6946,0.6241,3.0328,0.3658,0.2032,0.2326,1.1176,0.0802,0.6,0.1524,0.4
1.7077,0.6408,3.0328,0.3658,0.2438,0.2198,1.2192,0.0674,0.6,0.1524,0.4
1.7202,0.6578,3.0328,0.3658,0.2845,0.2098,1.3208,0.0574,0.6,0.1524,0.4
1.5132,0.5687,3.0328,0.2438,0.1219,0.2722,0.9144,0.1198,0.4,0.1524,0.4
1.5262,0.5868,3.0328,0.2438,0.1626,0.2494,1.016,0.097,0.4,0.1524,0.4
1.5381,0.6049,3.0328,0.2438,0.2032,0.2326,1.1176,0.0802,0.4,0.1524,0.4
1.5496,0.6232,3.0328,0.2438,0.2438,0.2198,1.2192,0.0674,0.4,0.1524,0.4
1.5609,0.642,3.0328,0.2438,0.2845,0.2098,1.3208,0.0574,0.4,0.1524,0.4
1.3615,0.5596,3.0328,0.1219,0.1219,0.2722,0.9144,0.1198,0.2,0.1524,0.4
1.3717,0.5796,3.0328,0.1219,0.1626,0.2494,1.016,0.097,0.2,0.1524,0.4
1.3816,0.5997,3.0328,0.1219,0.2032,0.2326,1.1176,0.0802,0.2,0.1524,0.4
1.3915,0.6201,3.0328,0.1219,0.2438,0.2198,1.2192,0.0674,0.2,0.1524,0.4
1.4016,0.641,3.0328,0.1219,0.2845,0.2098,1.3208,0.0574,0.2,0.1524,0.4
1.784,0.6099,3.0328,0.4877,0.1829,0.196,0.9144,0.1198,0.8,0.0762,0.6
1.7948,0.6212,3.0328,0.4877,0.2438,0.1732,1.016,0.097,0.8,0.0762,0.6
1.8031,0.6319,3.0328,0.4877,0.3048,0.1564,1.1176,0.0802,0.8,0.0762,0.6
1.81,0.6422,3.0328,0.4877,0.3658,0.1436,1.2192,0.0674,0.8,0.0762,0.6
1.816,0.6523,3.0328,0.4877,0.4267,0.1336,1.3208,0.0574,0.8,0.0762,0.6
1.6231,0.5737,3.0328,0.3658,0.1829,0.196,0.9144,0.1198,0.6,0.0762,0.6
1.6311,0.5857,3.0328,0.3658,0.2438,0.1732,1.016,0.097,0.6,0.0762,0.6
1.6373,0.5971,3.0328,0.3658,0.3048,0.1564,1.1176,0.0802,0.6,0.0762,0.6
1.6426,0.6082,3.0328,0.3658,0.3658,0.1436,1.2192,0.0674,0.6,0.0762,0.6
1.6475,0.6192,3.0328,0.3658,0.4267,0.1336,1.3208,0.0574,0.6,0.0762,0.6
1.4621,0.5474,3.0328,0.2438,0.1829,0.196,0.9144,0.1198,0.4,0.0762,0.6
1.4673,0.5603,3.0328,0.2438,0.2438,0.1732,1.016,0.097,0.4,0.0762,0.6
1.4715,0.5728,3.0328,0.2438,0.3048,0.1564,1.1176,0.0802,0.4,0.0762,0.6
1.4753,0.585,3.0328,0.2438,0.3658,0.1436,1.2192,0.0674,0.4,0.0762,0.6
1.4789,0.5972,3.0328,0.2438,0.4267,0.1336,1.3208,0.0574,0.4,0.0762,0.6
1.3011,0.5346,3.0328,0.1219,0.1829,0.196,0.9144,0.1198,0.2,0.0762,0.6
1.3036,0.549,3.0328,0.1219,0.2438,0.1732,1.016,0.097,0.2,0.0762,0.6
1.3057,0.5629,3.0328,0.1219,0.3048,0.1564,1.1176,0.0802,0.2,0.0762,0.6
1.3079,0.5766,3.0328,0.1219,0.3658,0.1436,1.2192,0.0674,0.2,0.0762,0.6
1.3103,0.5903,3.0328,0.1219,0.4267,0.1336,1.3208,0.0574,0.2,0.0762,0.6
1.8003,0.6165,3.0328,0.4877,0.1829,0.2341,0.9144,0.1198,0.8,0.1143,0.6
1.815,0.63,3.0328,0.4877,0.2438,0.2113,1.016,0.097,0.8,0.1143,0.6
1.8271,0.643,3.0328,0.4877,0.3048,0.1945,1.1176,0.0802,0.8,0.1143,0.6
1.8379,0.6558,3.0328,0.4877,0.3658,0.1817,1.2192,0.0674,0.8,0.1143,0.6
1.8478,0.6688,3.0328,0.4877,0.4267,0.1717,1.3208,0.0574,0.8,0.1143,0.6
1.644,0.5824,3.0328,0.3658,0.1829,0.2341,0.9144,0.1198,0.6,0.1143,0.6
1.6559,0.5968,3.0328,0.3658,0.2438,0.2113,1.016,0.097,0.6,0.1143,0.6
1.666,0.6108,3.0328,0.3658,0.3048,0.1945,1.1176,0.0802,0.6,0.1143,0.6
1.6751,0.6248,3.0328,0.3658,0.3658,0.1817,1.2192,0.0674,0.6,0.1143,0.6
1.6838,0.6389,3.0328,0.3658,0.4267,0.1717,1.3208,0.0574,0.6,0.1143,0.6
1.4876,0.5582,3.0328,0.2438,0.1829,0.2341,0.9144,0.1198,0.4,0.1143,0.6
1.4967,0.5738,3.0328,0.2438,0.2438,0.2113,1.016,0.097,0.4,0.1143,0.6
1.5048,0.5892,3.0328,0.2438,0.3048,0.1945,1.1176,0.0802,0.4,0.1143,0.6
1.5124,0.6046,3.0328,0.2438,0.3658,0.1817,1.2192,0.0674,0.4,0.1143,0.6
1.5199,0.6202,3.0328,0.2438,0.4267,0.1717,1.3208,0.0574,0.4,0.1143,0.6
1.3313,0.5474,3.0328,0.1219,0.1829,0.2341,0.9144,0.1198,0.2,0.1143,0.6
1.3376,0.5647,3.0328,0.1219,0.2438,0.2113,1.016,0.097,0.2,0.1143,0.6
1.3436,0.5819,3.0328,0.1219,0.3048,0.1945,1.1176,0.0802,0.2,0.1143,0.6
1.3497,0.5991,3.0328,0.1219,0.3658,0.1817,1.2192,0.0674,0.2,0.1143,0.6
1.356,0.6165,3.0328,0.1219,0.4267,0.1717,1.3208,0.0574,0.2,0.1143,0.6
1.8166,0.623,3.0328,0.4877,0.1829,0.2722,0.9144,0.1198,0.8,0.1524,0.6
1.8351,0.6385,3.0328,0.4877,0.2438,0.2494,1.016,0.097,0.8,0.1524,0.6
1.8511,0.6538,3.0328,0.4877,0.3048,0.2326,1.1176,0.0802,0.8,0.1524,0.6
1.8657,0.6691,3.0328,0.4877,0.3658,0.2198,1.2192,0.0674,0.8,0.1524,0.6
1.8795,0.6847,3.0328,0.4877,0.4267,0.2098,1.3208,0.0574,0.8,0.1524,0.6
1.6649,0.5909,3.0328,0.3658,0.1829,0.2722,0.9144,0.1198,0.6,0.1524,0.6
1.6806,0.6075,3.0328,0.3658,0.2438,0.2494,1.016,0.097,0.6,0.1524,0.6
1.6946,0.6241,3.0328,0.3658,0.3048,0.2326,1.1176,0.0802,0.6,0.1524,0.6
1.7077,0.6408,3.0328,0.3658,0.3658,0.2198,1.2192,0.0674,0.6,0.1524,0.6
1.7202,0.6578,3.0328,0.3658,0.4267,0.2098,1.3208,0.0574,0.6,0.1524,0.6
1.5132,0.5687,3.0328,0.2438,0.1829,0.2722,0.9144,0.1198,0.4,0.1524,0.6
1.5262,0.5868,3.0328,0.2438,0.2438,0.2494,1.016,0.097,0.4,0.1524,0.6
1.5381,0.6049,3.0328,0.2438,0.3048,0.2326,1.1176,0.0802,0.4,0.1524,0.6
1.5496,0.6232,3.0328,0.2438,0.3658,0.2198,1.2192,0.0674,0.4,0.1524,0.6
1.5609,0.642,3.0328,0.2438,0.4267,0.2098,1.3208,0.0574,0.4,0.1524,0.6
1.3615,0.5596,3.0328,0.1219,0.1829,0.2722,0.9144,0.1198,0.2,0.1524,0.6
1.3717,0.5796,3.0328,0.1219,0.2438,0.2494,1.016,0.097,0.2,0.1524,0.6
1.3816,0.5997,3.0328,0.1219,0.3048,0.2326,1.1176,0.0802,0.2,0.1524,0.6
1.3915,0.6201,3.0328,0.1219,0.3658,0.2198,1.2192,0.0674,0.2,0.1524,0.6
1.4016,0.641,3.0328,0.1219,0.4267,0.2098,1.3208,0.0574,0.2,0.1524,0.6
1.784,0.6099,3.0328,0.4877,0.2438,0.196,0.9144,0.1198,0.8,0.0762,0.8
1.7948,0.6212,3.0328,0.4877,0.3251,0.1732,1.016,0.097,0.8,0.0762,0.8
1.8031,0.6319,3.0328,0.4877,0.4064,0.1564,1.1176,0.0802,0.8,0.0762,0.8
1.81,0.6422,3.0328,0.4877,0.4877,0.1436,1.2192,0.0674,0.8,0.0762,0.8
1.816,0.6523,3.0328,0.4877,0.569,0.1336,1.3208,0.0574,0.8,0.0762,0.8
1.6231,0.5737,3.0328,0.3658,0.2438,0.196,0.9144,0.1198,0.6,0.0762,0.8
1.6311,0.5857,3.0328,0.3658,0.3251,0.1732,1.016,0.097,0.6,0.0762,0.8
1.6373,0.5971,3.0328,0.3658,0.4064,0.1564,1.1176,0.0802,0.6,0.0762,0.8
1.6426,0.6082,3.0328,0.3658,0.4877,0.1436,1.2192,0.0674,0.6,0.0762,0.8
1.6475,0.6192,3.0328,0.3658,0.569,0.1336,1.3208,0.0574,0.6,0.0762,0.8
1.4621,0.5474,3.0328,0.2438,0.2438,0.196,0.9144,0.1198,0.4,0.0762,0.8
1.4673,0.5603,3.0328,0.2438,0.3251,0.1732,1.016,0.097,0.4,0.0762,0.8
1.4715,0.5728,3.0328,0.2438,0.4064,0.1564,1.1176,0.0802,0.4,0.0762,0.8
1.4753,0.585,3.0328,0.2438,0.4877,0.1436,1.2192,0.0674,0.4,0.0762,0.8
1.4789,0.5972,3.0328,0.2438,0.569,0.1336,1.3208,0.0574,0.4,0.0762,0.8
1.3011,0.5346,3.0328,0.1219,0.2438,0.196,0.9144,0.1198,0.2,0.0762,0.8
1.3036,0.549,3.0328,0.1219,0.3251,0.1732,1.016,0.097,0.2,0.0762,0.8
1.3057,0.5629,3.0328,0.1219,0.4064,0.1564,1.1176,0.0802,0.2,0.0762,0.8
1.3079,0.5766,3.0328,0.1219,0.4877,0.1436,1.2192,0.0674,0.2,0.0762,0.8
1.3103,0.5903,3.0328,0.1219,0.569,0.1336,1.3208,0.0574,0.2,0.0762,0.8
1.8003,0.6165,3.0328,0.4877,0.2438,0.2341,0.9144,0.1198,0.8,0.1143,0.8
1.815,0.63,3.0328,0.4877,0.3251,0.2113,1.016,0.097,0.8,0.1143,0.8
1.8271,0.643,3.0328,0.4877,0.4064,0.1945,1.1176,0.0802,0.8,0.1143,0.8
1.8379,0.6558,3.0328,0.4877,0.4877,0.1817,1.2192,0.0674,0.8,0.1143,0.8
1.8478,0.6688,3.0328,0.4877,0.569,0.1717,1.3208,0.0574,0.8,0.1143,0.8
1.644,0.5824,3.0328,0.3658,0.2438,0.2341,0.9144,0.1198,0.6,0.1143,0.8
1.6559,0.5968,3.0328,0.3658,0.3251,0.2113,1.016,0.097,0.6,0.1143,0.8
1.666,0.6108,3.0328,0.3658,0.4064,0.1945,1.1176,0.0802,0.6,0.1143,0.8
1.6751,0.6248,3.0328,0.3658,0.4877,0.1817,1.2192,0.0674,0.6,0.1143,0.8
1.6838,0.6389,3.0328,0.3658,0.569,0.1717,1.3208,0.0574,0.6,0.1143,0.8
1.4876,0.5582,3.0328,0.2438,0.2438,0.2341,0.9144,0.1198,0.4,0.1143,0.8
1.4967,0.5738,3.0328,0.2438,0.3251,0.2113,1.016,0.097,0.4,0.1143,0.8
1.5048,0.5892,3.0328,0.2438,0.4064,0.1945,1.1176,0.0802,0.4,0.1143,0.8
1.5124,0.6046,3.0328,0.2438,0.4877,0.1817,1.2192,0.0674,0.4,0.1143,0.8
1.5199,0.6202,3.0328,0.2438,0.569,0.1717,1.3208,0.0574,0.4,0.1143,0.8
1.3313,0.5474,3.0328,0.1219,0.2438,0.2341,0.9144,0.1198,0.2,0.1143,0.8
1.3376,0.5647,3.0328,0.1219,0.3251,0.2113,1.016,0.097,0.2,0.1143,0.8
1.3436,0.5819,3.0328,0.1219,0.4064,0.1945,1.1176,0.0802,0.2,0.1143,0.8
1.3497,0.5991,3.0328,0.1219,0.4877,0.1817,1.2192,0.0674,0.2,0.1143,0.8
1.356,0.6165,3.0328,0.1219,0.569,0.1717,1.3208,0.0574,0.2,0.1143,0.8
1.8166,0.623,3.0328,0.4877,0.2438,0.2722,0.9144,0.1198,0.8,0.1524,0.8
1.8351,0.6385,3.0328,0.4877,0.3251,0.2494,1.016,0.097,0.8,0.1524,0.8
1.8511,0.6538,3.0328,0.4877,0.4064,0.2326,1.1176,0.0802,0.8,0.1524,0.8
1.8657,0.6691,3.0328,0.4877,0.4877,0.2198,1.2192,0.0674,0.8,0.1524,0.8
1.8795,0.6847,3.0328,0.4877,0.569,0.2098,1.3208,0.0574,0.8,0.1524,0.8
1.6649,0.5909,3.0328,0.3658,0.2438,0.2722,0.9144,0.1198,0.6,0.1524,0.8
1.6806,0.6075,3.0328,0.3658,0.3251,0.2494,1.016,0.097,0.6,0.1524,0.8
1.6946,0.6241,3.0328,0.3658,0.4064,0.2326,1.1176,0.0802,0.6,0.1524,0.8
1.7077,0.6408,3.0328,0.3658,0.4877,0.2198,1.2192,0.0674,0.6,0.1524,0.8
1.7202,0.6578,3.0328,0.3658,0.569,0.2098,1.3208,0.0574,0.6,0.1524,0.8
1.5132,0.5687,3.0328,0.2438,0.2438,0.2722,0.9144,0.1198,0.4,0.1524,0.8
1.5262,0.5868,3.0328,0.2438,0.3251,0.2494,1.016,0.097,0.4,0.1524,0.8
1.5381,0.6049,3.0328,0.2438,0.4064,0.2326,1.1176,0.0802,0.4,0.1524,0.8
1.5496,0.6232,3.0328,0.2438,0.4877,0.2198,1.2192,0.0674,0.4,0.1524,0.8
1.5609,0.642,3.0328,0.2438,0.569,0.2098,1.3208,0.0574,0.4,0.1524,0.8
1.3615,0.5596,3.0328,0.1219,0.2438,0.2722,0.9144,0.1198,0.2,0.1524,0.8
1.3717,0.5796,3.0328,0.1219,0.3251,0.2494,1.016,0.097,0.2,0.1524,0.8
1.3816,0.5997,3.0328,0.1219,0.4064,0.2326,1.1176,0.0802,0.2,0.1524,0.8
1.3915,0.6201,3.0328,0.1219,0.4877,0.2198,1.2192,0.0674,0.2,0.1524,0.8
1.4016,0.641,3.0328,0.1219,0.569,0.2098,1.3208,0.0574,0.2,0.1524,0.8
1.784,0.6099,3.0328,0.4877,0.3048,0.196,0.9144,0.1198,0.8,0.0762,1
1.7948,0.6212,3.0328,0.4877,0.4064,0.1732,1.016,0.097,0.8,0.0762,1
1.8031,0.6319,3.0328,0.4877,0.508,0.1564,1.1176,0.0802,0.8,0.0762,1
1.81,0.6422,3.0328,0.4877,0.6096,0.1436,1.2192,0.0674,0.8,0.0762,1
1.816,0.6523,3.0328,0.4877,0.7112,0.1336,1.3208,0.0574,0.8,0.0762,1
1.6231,0.5737,3.0328,0.3658,0.3048,0.196,0.9144,0.1198,0.6,0.0762,1
1.6311,0.5857,3.0328,0.3658,0.4064,0.1732,1.016,0.097,0.6,0.0762,1
1.6373,0.5971,3.0328,0.3658,0.508,0.1564,1.1176,0.0802,0.6,0.0762,1
1.6426,0.6082,3.0328,0.3658,0.6096,0.1436,1.2192,0.0674,0.6,0.0762,1
1.6475,0.6192,3.0328,0.3658,0.7112,0.1336,1.3208,0.0574,0.6,0.0762,1
1.4621,0.5474,3.0328,0.2438,0.3048,0.196,0.9144,0.1198,0.4,0.0762,1
1.4673,0.5603,3.0328,0.2438,0.4064,0.1732,1.016,0.097,0.4,0.0762,1
1.4715,0.5728,3.0328,0.2438,0.508,0.1564,1.1176,0.0802,0.4,0.0762,1
1.4753,0.585,3.0328,0.2438,0.6096,0.1436,1.2192,0.0674,0.4,0.0762,1
1.4789,0.5972,3.0328,0.2438,0.7112,0.1336,1.3208,0.0574,0.4,0.0762,1
1.3011,0.5346,3.0328,0.1219,0.3048,0.196,0.9144,0.1198,0.2,0.0762,1
1.3036,0.549,3.0328,0.1219,0.4064,0.1732,1.016,0.097,0.2,0.0762,1
1.3057,0.5629,3.0328,0.1219,0.508,0.1564,1.1176,0.0802,0.2,0.0762,1
1.3079,0.5766,3.0328,0.1219,0.6096,0.1436,1.2192,0.0674,0.2,0.0762,1
1.3103,0.5903,3.0328,0.1219,0.7112,0.1336,1.3208,0.0574,0.2,0.0762,1
1.8003,0.6165,3.0328,0.4877,0.3048,0.2341,0.9144,0.1198,0.8,0.1143,1
1.815,0.63,3.0328,0.4877,0.4064,0.2113,1.016,0.097,0.8,0.1143,1
1.8271,0.643,3.0328,0.4877,0.508,0.1945,1.1176,0.0802,0.8,0.1143,1
1.8379,0.6558,3.0328,0.4877,0.6096,0.1817,1.2192,0.0674,0.8,0.1143,1
1.8478,0.6688,3.0328,0.4877,0.7112,0.1717,1.3208,0.0574,0.8,0.1143,1
1.644,0.5824,3.0328,0.3658,0.3048,0.2341,0.9144,0.1198,0.6,0.1143,1
1.6559,0.5968,3.0328,0.3658,0.4064,0.2113,1.016,0.097,0.6,0.1143,1
1.666,0.6108,3.0328,0.3658,0.508,0.1945,1.1176,0.0802,0.6,0.1143,1
1.6751,0.6248,3.0328,0.3658,0.6096,0.1817,1.2192,0.0674,0.6,0.1143,1
1.6838,0.6389,3.0328,0.3658,0.7112,0.1717,1.3208,0.0574,0.6,0.1143,1
1.4876,0.5582,3.0328,0.2438,0.3048,0.2341,0.9144,0.1198,0.4,0.1143,1
1.4967,0.5738,3.0328,0.2438,0.4064,0.2113,1.016,0.097,0.4,0.1143,1
1.5048,0.5892,3.0328,0.2438,0.508,0.1945,1.1176,0.0802,0.4,0.1143,1
1.5124,0.6046,3.0328,0.2438,0.6096,0.1817,1.2192,0.0674,0.4,0.1143,1
1.5199,0.6202,3.0328,0.2438,0.7112,0.1717,1.3208,0.0574,0.4,0.1143,1
1.3313,0.5474,3.0328,0.1219,0.3048,0.2341,0.9144,0.1198,0.2,0.1143,1
1.3376,0.5647,3.0328,0.1219,0.4064,0.2113,1.016,0.097,0.2,0.1143,1
1.3436,0.5819,3.0328,0.1219,0.508,0.1945,1.1176,0.0802,0.2,0.1143,1
1.3497,0.5991,3.0328,0.1219,0.6096,0.1817,1.2192,0.0674,0.2,0.1143,1
1.356,0.6165,3.0328,0.1219,0.7112,0.1717,1.3208,0.0574,0.2,0.1143,1
1.8166,0.623,3.0328,0.4877,0.3048,0.2722,0.9144,0.1198,0.8,0.1524,1
1.8351,0.6385,3.0328,0.4877,0.4064,0.2494,1.016,0.097,0.8,0.1524,1
1.8511,0.6538,3.0328,0.4877,0.508,0.2326,1.1176,0.0802,0.8,0.1524,1
1.8657,0.6691,3.0328,0.4877,0.6096,0.2198,1.2192,0.0674,0.8,0.1524,1
1.8795,0.6847,3.0328,0.4877,0.7112,0.2098,1.3208,0.0574,0.8,0.1524,1
1.6649,0.5909,3.0328,0.3658,0.3048,0.2722,0.9144,0.1198,0.6,0.1524,1
1.6806,0.6075,3.0328,0.3658,0.4064,0.2494,1.016,0.097,0.6,0.1524,1
1.6946,0.6241,3.0328,0.3658,0.508,0.2326,1.1176,0.0802,0.6,0.1524,1
1.7077,0.6408,3.0328,0.3658,0.6096,0.2198,1.2192,0.0674,0.6,0.1524,1
1.7202,0.6578,3.0328,0.3658,0.7112,0.2098,1.3208,0.0574,0.6,0.1524,1
1.5132,0.5687,3.0328,0.2438,0.3048,0.2722,0.9144,0.1198,0.4,0.1524,1
1.5262,0.5868,3.0328,0.2438,0.4064,0.2494,1.016,0.097,0.4,0.1524,1
1.5381,0.6049,3.0328,0.2438,0.508,0.2326,1.1176,0.0802,0.4,0.1524,1
1.5496,0.6232,3.0328,0.2438,0.6096,0.2198,1.2192,0.0674,0.4,0.1524,1
1.5609,0.642,3.0328,0.2438,0.7112,0.2098,1.3208,0.0574,0.4,0.1524,1
1.3615,0.5596,3.0328,0.1219,0.3048,0.2722,0.9144,0.1198,0.2,0.1524,1
1.3717,0.5796,3.0328,0.1219,0.4064,0.2494,1.016,0.097,0.2,0.1524,1
1.3816,0.5997,3.0328,0.1219,0.508,0.2326,1.1176,0.0802,0.2,0.1524,1
1.3915,0.6201,3.0328,0.1219,0.6096,0.2198,1.2192,0.0674,0.2,0.1524,1
1.4016,0.641,3.0328,0.1219,0.7112,0.2098,1.3208,0.0574,0.2,0.1524,1
