sref,cref,tipChord,leadingEdgeX,cgPositionX,hTailX,hTailTipY,hTailChord,taperRatio,transitionSetbackRatio,cgPositionRatio,hTailAR,hTailLength,hTailCoeff
1.4976,0.6048,0.256,0.5791,0.7303,2.015,0.6152,0.2461,0.42,0.76,1,5,1.3462,0.45
1.4976,0.6048,0.256,0.5867,0.7379,2.0226,0.6152,0.2461,0.42,0.77,1,5,1.3462,0.45
1.4976,0.6048,0.256,0.5944,0.7456,2.0302,0.6152,0.2461,0.42,0.78,1,5,1.3462,0.45
1.4976,0.6048,0.256,0.602,0.7532,2.0379,0.6152,0.2461,0.42,0.79,1,5,1.3462,0.45
1.4976,0.6048,0.256,0.6096,0.7608,2.0455,0.6152,0.2461,0.42,0.8,1,5,1.3462,0.45
1.4976,0.6048,0.256,0.6172,0.7684,2.0531,0.6152,0.2461,0.42,0.81,1,5,1.3462,0.45
1.4976,0.6048,0.256,0.6248,0.776,2.0607,0.6152,0.2461,0.42,0.82,1,5,1.3462,0.45
1.4976,0.6048,0.256,0.6325,0.7837,2.0683,0.6152,0.2461,0.42,0.83,1,5,1.3462,0.45
1.4976,0.6048,0.256,0.6401,0.7913,2.076,0.6152,0.2461,0.42,0.84,1,5,1.3462,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.0836,0.6152,0.2461,0.42,0.85,1,5,1.3462,0.45
1.4976,0.6048,0.256,0.5715,0.7227,2.0334,0.6095,0.2438,0.42,0.75,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.5791,0.7303,2.041,0.6095,0.2438,0.42,0.76,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.5867,0.7379,2.0486,0.6095,0.2438,0.42,0.77,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.5944,0.7456,2.0562,0.6095,0.2438,0.42,0.78,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.602,0.7532,2.0638,0.6095,0.2438,0.42,0.79,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.6096,0.7608,2.0715,0.6095,0.2438,0.42,0.8,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.6172,0.7684,2.0791,0.6095,0.2438,0.42,0.81,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.6248,0.776,2.0867,0.6095,0.2438,0.42,0.82,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.6325,0.7837,2.0943,0.6095,0.2438,0.42,0.83,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.6401,0.7913,2.1019,0.6095,0.2438,0.42,0.84,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.1096,0.6095,0.2438,0.42,0.85,1,5,1.3716,0.45
1.4976,0.6048,0.256,0.5715,0.7227,2.0593,0.6039,0.2416,0.42,0.75,1,5,1.397,0.45
1.4976,0.6048,0.256,0.5791,0.7303,2.0669,0.6039,0.2416,0.42,0.76,1,5,1.397,0.45
1.4976,0.6048,0.256,0.5867,0.7379,2.0746,0.6039,0.2416,0.42,0.77,1,5,1.397,0.45
1.4976,0.6048,0.256,0.5944,0.7456,2.0822,0.6039,0.2416,0.42,0.78,1,5,1.397,0.45
1.4976,0.6048,0.256,0.602,0.7532,2.0898,0.6039,0.2416,0.42,0.79,1,5,1.397,0.45
1.4976,0.6048,0.256,0.6096,0.7608,2.0974,0.6039,0.2416,0.42,0.8,1,5,1.397,0.45
1.4976,0.6048,0.256,0.6172,0.7684,2.105,0.6039,0.2416,0.42,0.81,1,5,1.397,0.45
1.4976,0.6048,0.256,0.6248,0.776,2.1127,0.6039,0.2416,0.42,0.82,1,5,1.397,0.45
1.4976,0.6048,0.256,0.6325,0.7837,2.1203,0.6039,0.2416,0.42,0.83,1,5,1.397,0.45
1.4976,0.6048,0.256,0.6401,0.7913,2.1279,0.6039,0.2416,0.42,0.84,1,5,1.397,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.1355,0.6039,0.2416,0.42,0.85,1,5,1.397,0.45
1.4976,0.6048,0.256,0.5715,0.7227,2.0853,0.5985,0.2394,0.42,0.75,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.5791,0.7303,2.0929,0.5985,0.2394,0.42,0.76,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.5867,0.7379,2.1005,0.5985,0.2394,0.42,0.77,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.5944,0.7456,2.1081,0.5985,0.2394,0.42,0.78,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.602,0.7532,2.1157,0.5985,0.2394,0.42,0.79,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.6096,0.7608,2.1234,0.5985,0.2394,0.42,0.8,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.6172,0.7684,2.131,0.5985,0.2394,0.42,0.81,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.6248,0.776,2.1386,0.5985,0.2394,0.42,0.82,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.6325,0.7837,2.1462,0.5985,0.2394,0.42,0.83,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.6401,0.7913,2.1538,0.5985,0.2394,0.42,0.84,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.1615,0.5985,0.2394,0.42,0.85,1,5,1.4224,0.45
1.4976,0.6048,0.256,0.5715,0.7227,2.1112,0.5932,0.2373,0.42,0.75,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.5791,0.7303,2.1188,0.5932,0.2373,0.42,0.76,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.5867,0.7379,2.1264,0.5932,0.2373,0.42,0.77,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.5944,0.7456,2.134,0.5932,0.2373,0.42,0.78,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.602,0.7532,2.1417,0.5932,0.2373,0.42,0.79,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.6096,0.7608,2.1493,0.5932,0.2373,0.42,0.8,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.6172,0.7684,2.1569,0.5932,0.2373,0.42,0.81,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.6248,0.776,2.1645,0.5932,0.2373,0.42,0.82,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.6325,0.7837,2.1721,0.5932,0.2373,0.42,0.83,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.6401,0.7913,2.1798,0.5932,0.2373,0.42,0.84,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.1874,0.5932,0.2373,0.42,0.85,1,5,1.4478,0.45
1.4976,0.6048,0.256,0.5715,0.7227,2.1371,0.5881,0.2352,0.42,0.75,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.5791,0.7303,2.1447,0.5881,0.2352,0.42,0.76,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.5867,0.7379,2.1523,0.5881,0.2352,0.42,0.77,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.5944,0.7456,2.16,0.5881,0.2352,0.42,0.78,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.602,0.7532,2.1676,0.5881,0.2352,0.42,0.79,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.6096,0.7608,2.1752,0.5881,0.2352,0.42,0.8,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.6172,0.7684,2.1828,0.5881,0.2352,0.42,0.81,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.6248,0.776,2.1904,0.5881,0.2352,0.42,0.82,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.6325,0.7837,2.1981,0.5881,0.2352,0.42,0.83,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.6401,0.7913,2.2057,0.5881,0.2352,0.42,0.84,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.2133,0.5881,0.2352,0.42,0.85,1,5,1.4732,0.45
1.4976,0.6048,0.256,0.5715,0.7227,2.163,0.5831,0.2332,0.42,0.75,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.5791,0.7303,2.1706,0.5831,0.2332,0.42,0.76,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.5867,0.7379,2.1782,0.5831,0.2332,0.42,0.77,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.5944,0.7456,2.1859,0.5831,0.2332,0.42,0.78,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.602,0.7532,2.1935,0.5831,0.2332,0.42,0.79,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.6096,0.7608,2.2011,0.5831,0.2332,0.42,0.8,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.6172,0.7684,2.2087,0.5831,0.2332,0.42,0.81,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.6248,0.776,2.2163,0.5831,0.2332,0.42,0.82,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.6325,0.7837,2.224,0.5831,0.2332,0.42,0.83,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.6401,0.7913,2.2316,0.5831,0.2332,0.42,0.84,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.2392,0.5831,0.2332,0.42,0.85,1,5,1.4986,0.45
1.4976,0.6048,0.256,0.5715,0.7227,2.1889,0.5782,0.2313,0.42,0.75,1,5,1.524,0.45
1.4976,0.6048,0.256,0.5791,0.7303,2.1965,0.5782,0.2313,0.42,0.76,1,5,1.524,0.45
1.4976,0.6048,0.256,0.5867,0.7379,2.2041,0.5782,0.2313,0.42,0.77,1,5,1.524,0.45
1.4976,0.6048,0.256,0.5944,0.7456,2.2117,0.5782,0.2313,0.42,0.78,1,5,1.524,0.45
1.4976,0.6048,0.256,0.602,0.7532,2.2194,0.5782,0.2313,0.42,0.79,1,5,1.524,0.45
1.4976,0.6048,0.256,0.6096,0.7608,2.227,0.5782,0.2313,0.42,0.8,1,5,1.524,0.45
1.4976,0.6048,0.256,0.6172,0.7684,2.2346,0.5782,0.2313,0.42,0.81,1,5,1.524,0.45
1.4976,0.6048,0.256,0.6248,0.776,2.2422,0.5782,0.2313,0.42,0.82,1,5,1.524,0.45
1.4976,0.6048,0.256,0.6325,0.7837,2.2498,0.5782,0.2313,0.42,0.83,1,5,1.524,0.45
1.4976,0.6048,0.256,0.6401,0.7913,2.2575,0.5782,0.2313,0.42,0.84,1,5,1.524,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.2651,0.5782,0.2313,0.42,0.85,1,5,1.524,0.45
